no,Tgl_Iklan,url,Harga_juta,Kota_Provinsi,Luas_Tanah,Luas_Bangunan,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
21,26/02/2021,https://www.olx.co.id/item/tanah-dan-bangunan-depan-jalan-utama-iid-820392321,780,"Ambon, Maluku",168,100,4,2,0,0,1,0,,HGB,Tanah dan Bangunan Depan Jalan Utama,"Lokasi strategis tepat di Depan Jalan Utama, bekas Toko, tapi lagi di kontrak 25jta/tahun selama 3tahun, sisa 2tahun lebih, bisa di potong dari harga jual.. 3 kamar, dapur, Ruang Tamu, Ruang Toko luas, 2 kmar mandi, Luas Tanah 168M2, bangunan +- 100M2 Air Sumur Bor.. Cocok Untuk Usaha atau di Investasikan.."
22,09/02/2021,https://www.olx.co.id/item/dijual-rumah-tinggal-2-lantai-plus-perabot-iid-818212752,3200,"Ambon, Maluku",300,300,4,4,0,0,1,1,,SHM,DIJUAL : RUMAH TINGGAL 2 LANTAI PLUS PERABOT,Kondisi rumah terawat
23,01/02/2021,https://www.olx.co.id/item/dijual-cepat-rumah-kos-usaha-air-minum-isi-ulang-iid-801379227,2200,"Ambon, Maluku",195,280,8,5,0,0,2,0,900,SHM,Dijual cepat rumah + kos + usaha air minum isi ulang,Rumah tinggal + usaha kos2an + usaha air minum isi ulang. Bangunan baru renovasi tahun 2018 Fasilitas : - 8 kamar tidur - 5 kamar mandi - 2 kamar tidur utama - Masing2 kamar kos sudah difasilitasi springbed + lemari + token listrik 900 watt + AC (2 kamar)- air sumur bor - Posisi di hook -Kos2an sudah berjalan- Usaha air minum isi ulang sudah berjalan. Lokasi sangat strategis : -Depan Universitas Patimura -depan fakultas hukum Universitas Pattimura dan mesjid kampus Unpatti -20 menit ke Bandara Internasional Pattimura -5 menit (2 km) ke jembatan merah putih - 7 menit ke Maluku City Mall. Detil info lokasi & shareloc hubungi no WA di bio Harga nego
24,31/01/2021,https://www.olx.co.id/item/dijual-rumah-di-jl-air-salobar-sk-5528-maluku-ambon-iid-760706441,2200,"Ambon, Maluku",720,630,5,2,0,0,1,2,,SHM,Dijual Rumah di Jl. Air Salobar SK 55/28 Maluku – Ambon,Dijual Rumah Sertifikat Hak Milik dengan luas 720 M2
25,22/01/2021,https://www.olx.co.id/item/rumah-prospek-banget-masih-bisa-nego-lokasi-strategis-ruko-kosan-iid-815993715,2400,"Ambon, Maluku",800,660,6,5,0,0,8,1,,SHM,Rumah prospek banget Masih bisa Nego - Lokasi strategis + Ruko + kosan,"Yang Bantu Jualkan dapat 1% Dari Harga Jual (klw kali bisa Puluhan Juta). Rumah keluarga Dan Prospek banget untuk Bisnis di Lokasi Strategis Kota Ambon. Ada Ruko : Bisa untuk cafe, Laundry, Dan Supermarket ataupun Warung Lainnya. Include Kamar kos2an, langsung dapat bulanan dari sewa kamar. Detailnya silahkan baca di bawah !!! - tipe : rumah Luas bangunan : 660 Luas tanah : 800 Kamar tidur : 6 (3 kamar ada AC) Kamar mandi : 5 (ada 2 kamar yang Wc dalam). Lantai : 2. Fasilitas : AC, carport, garasi, usaha kos2an, dan Warkop Kamar kosan : 9 kamar kosan (posisi di belakang rumah, 2 lantai) Parkiran kosan : bisa sampai 8 unit mobil Parkiran rumah : 1 mobil. Posisi Warkop tepat samping rumah. Sertifikat : SHM. Alamat lokasi : Jl harapan Jaya (gunung Malintang)"
26,18/01/2021,https://www.olx.co.id/item/jual-rumah-siap-pakai-btn-kebun-cengkeh-ambon-iid-803695783,650,"Ambon, Maluku",120,120,3,1,0,0,0,0,,SHM,"Jual Rumah siap Pakai BTN Kebun Cengkeh, Ambon","Rumah layak pakai, ukuran lebih besar dari rumah standar BTN kebun Cengkeh. Bisa dinego"
27,20/12/2020,https://www.99.co/id/properti/rumah-dijual-550jt-teluk-ambon-221603380,550,"Ambon, Maluku",100,36,2,1,0,0,1,0,2200,SHM,Jual rmh +kelebihan tanah + ac,"lokasi perumahan bliss village lateri bebas macet+bebas banjir, dekt pusat kota, pusat belanja modern+tradisional,pusat study,akses mudah ke bandara,"
28,20/12/2020,https://www.99.co/id/properti/rumah-dijual-700jt-teluk-ambon-881867880,700,"Ambon, Maluku",100,36,2,1,0,0,1,0,2200,SHM,Jual rumah bebas banjir nyaman asri aman,-
29,10/10/2020,https://www.rumahku.com/p/J9XWG001/rumah-dijual-aha-pulau-morotai-97771,155,"Aha, Pulau Morotai, Maluku Utara",120,36,2,1,0,0,1,0,2200,SHM,Falila Residence Morotai,"Jababeka Morotai adalah Badan Usaha yang ditunjuk oleh Pemerintah untuk mengembang KEK Morotai. Salah satu produk dari Jababeka Morotai adalah Perumahan Falila Residence. Dapatkan berbagai fasilitas menarik dengan membeli produk rumah dari Jababeka Morotai. Pembayaran dapat dilakukan dengan cash keras, cash bertahap dan KPR. Untuk info lebih lanjut, silahkan hubungi kami."
30,10/08/2020,http://citralandambon.com/read/2019/03/22/28/JADE__LB__43_m2_%7C_LT__90_m2__,746,"Ambon, Maluku",90,43,2,1,0,0,1,0,1300,SHM,JADE (LB. 43 M2 | LT. 90 M2),"SPESIFIKASI BANGUNAN 

PONDASI : Batu Karang Padat (Lt 1), Beton Bertulang (Lt 2) 

STRUKTUR : Beton Bertulang 

DINDING : Bata Ringan + Plester + Aci + Cat 

KUSEN & DAUN : Alumunium Finishing Cat Powder Coating 

PINTU/JENDELA : Engineering Door 

ATAP : Rangka Baja Ringan, Penutup Genteng 

PLAFOND : Rangka Metal Furing Penutup Gypsumboard 

LANTAI : Granit Tile 

SANITARY : Ex Toto / Setara 

LISTRIK : 1.300 / 2,200 Watt 

AIR BERSIH : Jaringan Sentral CitraLand Ambon 

INFRASTRUKTUR : Utilitas Bawah Tanah"
